29.3000 1.3000 0.1739 0.8141 0.2260 1.6640 0.7220 34.2000
0.5070 1.2430 0.1739 0.8141 0.2260 1.6640 0.7220 5.3500
0.2250 2.9350 6.6300 0.8200 0.2260 1.6640 0.7000 13.2000
0.2250 1.8150 0.1739 0.8221 0.2260 1.6640 0.7340 5.6600
25.2000 1.6000 14.1000 0.9000 0.2680 1.7320 0.6000 44.4000
25.2000 1.6000 14.1000 0.9000 15.3000 1.8000 0.6000 59.5000
25.2000 1.6000 14.1000 0.9000 15.3000 1.8000 0.6000 59.5000
0.5070 1.5930 14.1000 0.8000 0.2680 1.7420 0.5900 19.6000
0.5070 1.5930 14.1000 0.8000 0.2730 1.7470 0.6800 19.7000
0.2250 2.0250 14.1000 0.8000 0.2730 1.6970 0.6800 19.8000
0.2250 2.0250 14.1000 0.8000 15.1000 1.7000 0.7500 34.7000
0.2250 2.0250 14.1000 0.8000 15.1000 1.7000 0.7500 34.7000
0.2250 1.8650 14.1000 0.8000 0.9820 2.3580 0.8700 21.2000
0.2250 1.8650 14.1000 0.8000 0.9840 2.3660 0.8600 21.2000
0.8280 1.3120 14.1000 0.8000 0.2260 1.6840 0.6500 19.6000
0.2250 1.8650 0.1739 0.8131 0.9380 2.3320 0.9130 7.2600
0.2250 1.5850 0.1739 0.8131 0.2260 1.6840 0.6430 5.3500
0.2250 1.5850 0.1739 0.8131 13.8000 2.1000 0.6030 19.3000
